,feat_importance
Market Cap,0.003805259
Market_Cap_Fixed,1.453571e-05
FinTA.OBV_Normalized,0.00021636004
FinTA.14 period MFI,0.0010773817
FinTA.50 period MFI,0.00011694057
FinTA.Normalized_SMA_5,0.00032356402
FinTA.Normalized_SMA_20,0.0011880789
FinTA.Normalized_SMA_50,0.0004331116
FinTA.Normalized_SMA_100,5.90544e-05
FinTA.Normalized_SMA_200,0.00018753439
FinTA.Normalized_SMA_400,0.0002718452
FinTA.RSMA_10_20,0.00067193544
FinTA.RSMA_20_50,0.0002879629
FinTA.RSMA_50_100,0.000756032
FinTA.RSMA_50_200,0.00052444875
FinTA.RSMA_100_200,0.0009568884
FinTA.Normalized_EMA_5,8.580885e-05
FinTA.Normalized_EMA_20,0.0
FinTA.Normalized_EMA_50,0.0
FinTA.Normalized_EMA_100,3.5324294e-05
FinTA.Normalized_EMA_200,0.00031520557
FinTA.REMA_10_20,0.000108776716
FinTA.REMA_20_50,0.00028672014
FinTA.REMA_50_100,4.992947e-05
FinTA.REMA_50_200,0.0
FinTA.Pct_change_1,0.0035221574
FinTA.Pct_change_3,0.0
FinTA.Pct_change_5,0.00014281346
FinTA.Pct_change_10,0.0
FinTA.Pct_change_20,0.00079478876
FinTA.Pct_change_50,0.00041440016
FinTA.Pct_change_100,0.00029877533
FinTA.Pct_change_250,0.0015975102
FinTA.Pct_change_520,0.002617757
FinTA.Max_increase_pct_5,0.0
FinTA.Max_increase_pct_20,0.00034074165
FinTA.Max_increase_pct_50,0.0004656831
FinTA.Max_increase_pct_100,0.0
FinTA.Max_increase_pct_200,0.0021447563
FinTA.Max_increase_pct_300,0.00049169146
FinTA.Max_increase_pct_500,0.0027941472
FinTA.Max_decrease_pct_5,4.367199e-05
FinTA.Max_decrease_pct_20,9.9610246e-05
FinTA.Max_decrease_pct_50,7.1263894e-05
FinTA.Max_decrease_pct_100,0.0
FinTA.Max_decrease_pct_200,3.581872e-05
FinTA.Max_decrease_pct_300,0.00049463555
FinTA.Max_decrease_pct_500,0.0035022066
FinTA.5period DI+,0.0001431037
FinTA.5period DI-,2.898855e-05
FinTA.14period DI+,4.4143926e-05
FinTA.14period DI-,0.00017346525
FinTA.30period DI+,0.00016699327
FinTA.30period DI-,0.00047362814
FinTA.130_3_VFI,0.00016925311
FinTA.20_5_VFI,0.00011778297
FinTA.BASP_Buy,0.0068934993
FinTA.BASP_Sell,0.00010742072
FinTA.VZO,8.8946894e-05
FinTA.FVE_22,0.0
FinTA.FVE_14,0.00046110273
FinTA.FVE_7,1.4842314e-05
FinTA.FVE_3,0.0
TAlib.NATR_14,0.0027215602
TAlib.NATR_3,0.008317643
TAlib.NATR_7,0.002141488
TAlib.NATR_20,0.0055724266
TAlib.NATR_40,0.04019449
TAlib.NATR_100,0.013003437
TAlib.NATR_200,0.0017548795
TAlib.ADXR_14,0.0020265763
TAlib.BETA_5,6.732507e-05
TAlib.BETA_14,0.00024555562
TAlib.BETA_40,0.0
TAlib.HT_DCPERIOD,0.0002188605
TAlib.aroondown,0.0
TAlib.aroonup,0.00012482518
TAlib.AROONOSC,1.7672028e-05
TAlib.BOP,0.00082442514
TAlib.CCI,3.266873e-05
TAlib.CMO,0.0
TAlib.DX,9.928015e-06
TAlib.MINUS_DI,0.0006539822
TAlib.PLUS_DI,1.8112363e-05
TAlib.PPO,0.0007443855
TAlib.ROC,0.00015547402
TAlib.ROCP,0.0
TAlib.ROCR,0.0
TAlib.ROCR100,0.0
TAlib.RSI_14,0.0
TAlib.RSI_5,0.0
TAlib.slowk,4.2757292e-05
TAlib.slowd,0.0
"TAlib.fastk_5, 3, 0",0.0008852158
"TAlib.fastd_5, 3, 0",0.0
TAlib.fastk_14,0.0
TAlib.fastd_14,0.0
TAlib.TRIX,0.0006796366
TAlib.ULTOSC,0.00030513067
TAlib.WILLR,0.0
TAlib.HT_DCPHASE,1.562978e-05
TAlib.sine,0.00015065406
TAlib.leadsine,0.0
TAlib.HT_TRENDMODE,1.7314935e-05
TAlib.CDL2CROWS,0.0
TAlib.CDL3BLACKCROWS,0.0
TAlib.CDL3INSIDE,0.0
TAlib.CDL3LINESTRIKE,1.1412426e-05
TAlib.CDL3OUTSIDE,0.0
TAlib.CDL3STARSINSOUTH,0.0
TAlib.CDL3WHITESOLDIERS,0.0
TAlib.CDLABANDONEDBABY,0.0
TAlib.CDLADVANCEBLOCK,0.0
TAlib.CDLBELTHOLD,0.0
TAlib.CDLBREAKAWAY,0.0
TAlib.CDLCLOSINGMARUBOZU,0.0
TAlib.CDLCONCEALBABYSWALL,0.0
TAlib.CDLCOUNTERATTACK,0.0
TAlib.CDLDARKCLOUDCOVER,0.0
TAlib.CDLDOJI,0.0
TAlib.CDLDOJISTAR,0.0
TAlib.CDLDRAGONFLYDOJI,0.0
TAlib.CDLENGULFING,0.0
TAlib.CDLEVENINGDOJISTAR,0.0
TAlib.CDLEVENINGSTAR,0.0
TAlib.CDLGAPSIDESIDEWHITE,0.0
TAlib.CDLGRAVESTONEDOJI,0.0
TAlib.CDLHAMMER,0.0
TAlib.CDLHANGINGMAN,0.0
TAlib.CDLHARAMI,0.0
TAlib.CDLHARAMICROSS,0.0
TAlib.CDLHIKKAKE,0.0
TAlib.CDLHIKKAKEMOD,0.0
TAlib.CDLHOMINGPIGEON,0.0
TAlib.CDLIDENTICAL3CROWS,0.0
TAlib.CDLINNECK,0.0
TAlib.CDLINVERTEDHAMMER,0.0
TAlib.CDLKICKING,0.0
TAlib.CDLKICKINGBYLENGTH,0.0
TAlib.CDLLADDERBOTTOM,0.0
TAlib.CDLLONGLEGGEDDOJI,0.0
TAlib.CDLLONGLINE,0.0
TAlib.CDLMARUBOZU,0.0
TAlib.CDLMATCHINGLOW,0.0
TAlib.CDLMATHOLD,0.0
TAlib.CDLMORNINGDOJISTAR,0.0
TAlib.CDLMORNINGSTAR,0.0
TAlib.CDLONNECK,0.0
TAlib.CDLPIERCING,0.0
TAlib.CDLRICKSHAWMAN,0.0
TAlib.CDLRISEFALL3METHODS,0.0
TAlib.CDLSEPARATINGLINES,0.0
TAlib.CDLSHOOTINGSTAR,5.8878453e-05
TAlib.CDLSHORTLINE,0.0
TAlib.CDLSTALLEDPATTERN,0.0
TAlib.CDLSTICKSANDWICH,0.0
TAlib.CDLTAKURI,0.0
TAlib.CDLTASUKIGAP,0.0
TAlib.CDLTHRUSTING,0.0
TAlib.CDLTRISTAR,0.0
TAlib.CDLUNIQUE3RIVER,0.0
TAlib.CDLUPSIDEGAP2CROWS,0.0
TAlib.CDLXSIDEGAP3METHODS,0.0
Sector_Commercial Services,0.0
Sector_Communications,0.0
Sector_Consumer Non-Durables,0.0
Sector_Consumer Services,0.0
Sector_Energy Minerals,0.0036787975
Sector_Finance,0.0
Sector_Health Technology,0.0
Sector_Industrial Services,0.0
Sector_Non-Energy Minerals,0.0
Sector_Process Industries,0.0
Sector_Producer Manufacturing,0.0
Sector_Retail Trade,0.0003516907
Sector_Technology Services,0.0
Sector_Transportation,0.00019132424
Sector_Utilities,0.0
