,AUPRC,Precision@0.5%,CM@0.5%,Precision@1%,CM@1%,Precision@3%,CM@3%,Precision@5%,CM@5%,Precision@10%,CM@10%
Train,0.428,0.814,"[[92, 21], [2969, 19374]]",0.806,"[[183, 44], [2878, 19351]]",0.659,"[[444, 230], [2617, 19165]]",0.572,"[[643, 481], [2418, 18914]]",0.467,"[[1049, 1199], [2012, 18196]]"
Test,0.33,1.0,"[[4, 0], [181, 523]]",0.75,"[[6, 2], [179, 521]]",0.318,"[[7, 15], [178, 508]]",0.25,"[[9, 27], [176, 496]]",0.31,"[[22, 49], [163, 474]]"
