,AUPRC,Precision@0.5%,CM@0.5%,Precision@1%,CM@1%,Precision@3%,CM@3%,Precision@5%,CM@5%,Precision@10%,CM@10%
Train,0.435,0.865,"[[90, 14], [2650, 17859]]",0.802,"[[166, 41], [2574, 17832]]",0.672,"[[416, 203], [2324, 17670]]",0.595,"[[613, 418], [2127, 17455]]",0.473,"[[976, 1086], [1764, 16787]]"
Test,0.283,0.462,"[[6, 7], [487, 2042]]",0.385,"[[10, 16], [483, 2033]]",0.338,"[[26, 51], [467, 1998]]",0.328,"[[42, 86], [451, 1963]]",0.289,"[[74, 182], [419, 1867]]"
