,feat_importance
Market Cap,0.002488225
Market_Cap_Fixed,2.7506203e-05
FinTA.OBV_Normalized,0.0013388746
FinTA.14 period MFI,0.00039268137
FinTA.50 period MFI,0.0
FinTA.Normalized_SMA_5,6.766333e-05
FinTA.Normalized_SMA_20,0.00024559457
FinTA.Normalized_SMA_50,0.00084433384
FinTA.Normalized_SMA_100,0.00036864643
FinTA.Normalized_SMA_200,0.00014298587
FinTA.RSMA_10_20,0.002089954
FinTA.RSMA_20_50,7.147302e-05
FinTA.RSMA_50_100,0.0013829608
FinTA.RSMA_50_200,0.001756843
FinTA.Normalized_EMA_5,0.0
FinTA.Normalized_EMA_20,0.00010358596
FinTA.Normalized_EMA_50,2.4708439e-05
FinTA.Normalized_EMA_100,0.0007271882
FinTA.Normalized_EMA_200,0.00012946676
FinTA.REMA_10_20,0.0
FinTA.REMA_20_50,0.0008702532
FinTA.REMA_50_100,0.00032653037
FinTA.REMA_50_200,0.0005790554
FinTA.Pct_change_1,0.0054187737
FinTA.Pct_change_3,0.00014568317
FinTA.Pct_change_5,0.0
FinTA.Pct_change_10,5.5474626e-05
FinTA.Pct_change_20,0.00016502697
FinTA.Pct_change_50,0.00025471818
FinTA.Pct_change_100,0.0024359415
FinTA.Pct_change_250,0.0010598304
FinTA.Pct_change_520,0.0033984298
FinTA.Max_increase_pct_5,0.0003027997
FinTA.Max_increase_pct_20,0.0004238533
FinTA.Max_increase_pct_50,0.000288023
FinTA.Max_increase_pct_100,0.0
FinTA.Max_increase_pct_200,0.00093815767
FinTA.Max_increase_pct_300,0.000996944
FinTA.Max_decrease_pct_5,0.00028735885
FinTA.Max_decrease_pct_20,0.0
FinTA.Max_decrease_pct_50,0.0008353788
FinTA.Max_decrease_pct_100,0.0
FinTA.Max_decrease_pct_200,0.0003240769
FinTA.Max_decrease_pct_300,0.0012900392
FinTA.5period DI+,4.2328393e-05
FinTA.5period DI-,0.0
FinTA.14period DI+,0.0
FinTA.14period DI-,5.151124e-05
FinTA.30period DI+,0.00035255466
FinTA.30period DI-,0.0002475751
FinTA.130_3_VFI,0.00038243295
FinTA.BASP_Buy,0.0072937473
FinTA.BASP_Sell,0.0010661774
FinTA.VZO,5.7411336e-05
FinTA.FVE_22,0.00010101124
TAlib.NATR_14,0.0010337865
TAlib.NATR_7,0.007380965
TAlib.NATR_20,0.012858296
TAlib.NATR_40,0.035596613
TAlib.NATR_100,0.011246999
TAlib.NATR_200,0.007988633
TAlib.ADXR_14,0.00075327046
TAlib.BETA_5,5.1860527e-05
TAlib.BETA_14,0.0007338098
TAlib.BETA_40,0.0004753603
TAlib.HT_DCPERIOD,0.0004472275
TAlib.aroondown,0.000119196644
TAlib.aroonup,0.00050657673
TAlib.AROONOSC,0.00011709025
TAlib.BOP,0.0003983173
TAlib.CCI,0.00018891488
TAlib.CMO,0.0
TAlib.DX,0.0
TAlib.MINUS_DI,0.00060177967
TAlib.PLUS_DI,0.00037545353
TAlib.PPO,0.0001884897
TAlib.ROC,2.7853603e-05
TAlib.ROCP,0.0
TAlib.ROCR,0.0
TAlib.ROCR100,0.0
TAlib.RSI,0.0
TAlib.slowk,1.8248258e-05
TAlib.slowd,5.534558e-06
"TAlib.fastk_5, 3, 0",0.00021710874
"TAlib.fastd_5, 3, 0",0.0
TAlib.fastk_14,0.0
TAlib.fastd_14,0.0
TAlib.TRIX,0.0005232285
TAlib.ULTOSC,0.0002933536
TAlib.WILLR,3.2972726e-05
TAlib.HT_DCPHASE,0.0
TAlib.sine,0.0003036284
TAlib.leadsine,0.0
TAlib.HT_TRENDMODE,0.0
TAlib.CDL2CROWS,0.0
TAlib.CDL3BLACKCROWS,0.0
TAlib.CDL3INSIDE,0.0
TAlib.CDL3LINESTRIKE,0.0
TAlib.CDL3OUTSIDE,0.0
TAlib.CDL3STARSINSOUTH,0.0
TAlib.CDL3WHITESOLDIERS,0.0
TAlib.CDLABANDONEDBABY,0.0
TAlib.CDLADVANCEBLOCK,0.0
TAlib.CDLBELTHOLD,0.0
TAlib.CDLBREAKAWAY,0.0
TAlib.CDLCLOSINGMARUBOZU,0.0
TAlib.CDLCONCEALBABYSWALL,0.0
TAlib.CDLCOUNTERATTACK,0.0
TAlib.CDLDARKCLOUDCOVER,0.0
TAlib.CDLDOJI,0.0
TAlib.CDLDOJISTAR,0.0
TAlib.CDLDRAGONFLYDOJI,0.0
TAlib.CDLENGULFING,0.0
TAlib.CDLEVENINGDOJISTAR,0.0
TAlib.CDLEVENINGSTAR,6.1086266e-06
TAlib.CDLGAPSIDESIDEWHITE,0.0
TAlib.CDLGRAVESTONEDOJI,0.0
TAlib.CDLHAMMER,0.0
TAlib.CDLHANGINGMAN,0.0
TAlib.CDLHARAMI,0.0
TAlib.CDLHARAMICROSS,0.0
TAlib.CDLHIKKAKE,0.0
TAlib.CDLHIKKAKEMOD,1.0189325e-06
TAlib.CDLHOMINGPIGEON,0.0
TAlib.CDLIDENTICAL3CROWS,0.0
TAlib.CDLINNECK,0.0
TAlib.CDLINVERTEDHAMMER,0.0
TAlib.CDLKICKING,0.0
TAlib.CDLKICKINGBYLENGTH,0.0
TAlib.CDLLADDERBOTTOM,0.0
TAlib.CDLLONGLEGGEDDOJI,0.0
TAlib.CDLLONGLINE,0.0
TAlib.CDLMARUBOZU,0.0
TAlib.CDLMATCHINGLOW,0.0
TAlib.CDLMATHOLD,0.0
TAlib.CDLMORNINGDOJISTAR,0.0
TAlib.CDLMORNINGSTAR,0.0
TAlib.CDLONNECK,0.0
TAlib.CDLPIERCING,0.0
TAlib.CDLRICKSHAWMAN,0.0
TAlib.CDLRISEFALL3METHODS,0.0
TAlib.CDLSEPARATINGLINES,0.0
TAlib.CDLSHOOTINGSTAR,6.214985e-05
TAlib.CDLSHORTLINE,0.0
TAlib.CDLSTALLEDPATTERN,0.0
TAlib.CDLSTICKSANDWICH,0.0
