,AUPRC,Precision@0.5%,CM@0.5%,Precision@1%,CM@1%,Precision@3%,CM@3%,Precision@5%,CM@5%,Precision@10%,CM@10%
Train,0.375,0.831,"[[113, 23], [3722, 23298]]",0.664,"[[184, 93], [3651, 23228]]",0.524,"[[430, 391], [3405, 22930]]",0.475,"[[645, 713], [3190, 22608]]",0.417,"[[1133, 1583], [2702, 21738]]"
Test,0.335,0.0,"[[0, 2], [47, 231]]",0.0,"[[0, 3], [47, 230]]",0.556,"[[5, 4], [42, 229]]",0.4,"[[6, 9], [41, 224]]",0.414,"[[12, 17], [35, 216]]"
