Indicator,Symbol,Jointed,Value dependent,Processing time
Minus Directional Indicator,MINUS_DI,"[""Minus Directional Indicator"" , ""MINUS_DI""],",No,0.002998829
Minus Directional Movement,MINUS_DM,"[""Minus Directional Movement"" , ""MINUS_DM""],",Yes,0.001999855
Momentum,MOM,"[""Momentum"" , ""MOM""],",Yes,0.001998186
Plus Directional Indicator,PLUS_DI,"[""Plus Directional Indicator"" , ""PLUS_DI""],",No,0.002997875
Plus Directional Movement,PLUS_DM,"[""Plus Directional Movement"" , ""PLUS_DM""],",Yes,0.001998425
Percentage Price Oscillator,PPO,"[""Percentage Price Oscillator"" , ""PPO""],",No,0.003026247
Rate of change : ((price/prevPrice)-1)*100,ROC,"[""Rate of change : ((price/prevPrice)-1)*100"" , ""ROC""],",No,0.002997637
Rate of change Percentage: (price-prevPrice)/prevPrice,ROCP,"[""Rate of change Percentage: (price-prevPrice)/prevPrice"" , ""ROCP""],",No,0.001998425
Rate of change ratio: (price/prevPrice),ROCR,"[""Rate of change ratio: (price/prevPrice)"" , ""ROCR""],",No,0.001998425
Rate of change ratio 100 scale: (price/prevPrice)*100,ROCR100,"[""Rate of change ratio 100 scale: (price/prevPrice)*100"" , ""ROCR100""],",No,0.001000881
Relative Strength Index,RSI,"[""Relative Strength Index"" , ""RSI""],",No,0.00299716
Stochastic,STOCH,"[""Stochastic"" , ""STOCH""],",No,0.00399828
Stochastic Fast,STOCHF,"[""Stochastic Fast"" , ""STOCHF""],",No,0.004996538
Stochastic Relative Strength Index,STOCHRSI,"[""Stochastic Relative Strength Index"" , ""STOCHRSI""],",No,0.003997326
1-day Rate-Of-Change (ROC) of a Triple Smooth EMA,TRIX,"[""1-day Rate-Of-Change (ROC) of a Triple Smooth EMA"" , ""TRIX""],",No,0.00299859
Ultimate Oscillator,ULTOSC,"[""Ultimate Oscillator"" , ""ULTOSC""],",No,0.002998352
Williams' %R,WILLR,"[""Williams' %R"" , ""WILLR""],",No,0.001999617
Chaikin A/D Line,AD,"[""Chaikin A/D Line"" , ""AD""],",Yes,0.001997948
Chaikin A/D Oscillator,ADOSC,"[""Chaikin A/D Oscillator"" , ""ADOSC""],",Yes,0.002000093
On Balance Volume,OBV,"[""On Balance Volume"" , ""OBV""],",Yes,0.001997709
Hilbert Transform - Dominant Cycle Period,HT_DCPERIOD,"[""Hilbert Transform - Dominant Cycle Period"" , ""HT_DCPERIOD""],",No,0.003997087
Hilbert Transform - Dominant Cycle Phase,HT_DCPHASE,"[""Hilbert Transform - Dominant Cycle Phase"" , ""HT_DCPHASE""],",No,0.026985407
Hilbert Transform - Phasor Components,HT_PHASOR,"[""Hilbert Transform - Phasor Components"" , ""HT_PHASOR""],",Yes,0.005996466
Hilbert Transform - SineWave,HT_SINE,"[""Hilbert Transform - SineWave"" , ""HT_SINE""],",No,0.029982328
Hilbert Transform - Trend vs Cycle Mode,HT_TRENDMODE,"[""Hilbert Transform - Trend vs Cycle Mode"" , ""HT_TRENDMODE""],",No,0.029955626
Average Price,AVGPRICE,"[""Average Price"" , ""AVGPRICE""],",Yes,0.001999855
Median Price,MEDPRICE,"[""Median Price"" , ""MEDPRICE""],",Yes,0.001998663
Typical Price,TYPPRICE,"[""Typical Price"" , ""TYPPRICE""],",Yes,0.00199914
Weighted Close Price,WCLPRICE,"[""Weighted Close Price"" , ""WCLPRICE""],",Yes,0.000999689
Average True Range,ATR,"[""Average True Range"" , ""ATR""],",Yes,0.003000498
Normalized Average True Range,NATR,"[""Normalized Average True Range"" , ""NATR""],",No,0.002995968
True Range,TRANGE,"[""True Range"" , ""TRANGE""],",Yes,0.002000809
Two Crows,CDL2CROWS,"[""Two Crows"" , ""CDL2CROWS""],",No,0.001996756
Three Black Crows,CDL3BLACKCROWS,"[""Three Black Crows"" , ""CDL3BLACKCROWS""],",No,0.002997637
Three Inside Up/Down,CDL3INSIDE,"[""Three Inside Up/Down"" , ""CDL3INSIDE""],",No,0.002999306
Three-Line Strike,CDL3LINESTRIKE,"[""Three-Line Strike"" , ""CDL3LINESTRIKE""],",No,0.001998425
Three Outside Up/Down,CDL3OUTSIDE,"[""Three Outside Up/Down"" , ""CDL3OUTSIDE""],",No,0.002997875
Three Stars In The South,CDL3STARSINSOUTH,"[""Three Stars In The South"" , ""CDL3STARSINSOUTH""],",No,0.001999617
Three Advancing White Soldiers,CDL3WHITESOLDIERS,"[""Three Advancing White Soldiers"" , ""CDL3WHITESOLDIERS""],",No,0.00299716
Abandoned Baby,CDLABANDONEDBABY,"[""Abandoned Baby"" , ""CDLABANDONEDBABY""],",No,0.002999306
Advance Block,CDLADVANCEBLOCK,"[""Advance Block"" , ""CDLADVANCEBLOCK""],",No,0.003997564
Belt-hold,CDLBELTHOLD,"[""Belt-hold"" , ""CDLBELTHOLD""],",No,0.003024578
Breakaway,CDLBREAKAWAY,"[""Breakaway"" , ""CDLBREAKAWAY""],",No,0.001998901
Closing Marubozu,CDLCLOSINGMARUBOZU,"[""Closing Marubozu"" , ""CDLCLOSINGMARUBOZU""],",No,0.002998114
Concealing Baby Swallow,CDLCONCEALBABYSWALL,"[""Concealing Baby Swallow"" , ""CDLCONCEALBABYSWALL""],",No,0.001999617
Counterattack,CDLCOUNTERATTACK,"[""Counterattack"" , ""CDLCOUNTERATTACK""],",No,0.001997948
Dark Cloud Cover,CDLDARKCLOUDCOVER,"[""Dark Cloud Cover"" , ""CDLDARKCLOUDCOVER""],",No,0.00299859
Doji,CDLDOJI,"[""Doji"" , ""CDLDOJI""],",No,0.001999855
Doji Star,CDLDOJISTAR,"[""Doji Star"" , ""CDLDOJISTAR""],",No,0.001997948
Dragonfly Doji,CDLDRAGONFLYDOJI,"[""Dragonfly Doji"" , ""CDLDRAGONFLYDOJI""],",No,0.001998425
Engulfing Pattern,CDLENGULFING,"[""Engulfing Pattern"" , ""CDLENGULFING""],",No,0.00199914
Evening Doji Star,CDLEVENINGDOJISTAR,"[""Evening Doji Star"" , ""CDLEVENINGDOJISTAR""],",No,0.002998114
Evening Star,CDLEVENINGSTAR,"[""Evening Star"" , ""CDLEVENINGSTAR""],",No,0.00199914
Up/Down-gap side-by-side white lines,CDLGAPSIDESIDEWHITE,"[""Up/Down-gap side-by-side white lines"" , ""CDLGAPSIDESIDEWHITE""],",No,0.002998114
Gravestone Doji,CDLGRAVESTONEDOJI,"[""Gravestone Doji"" , ""CDLGRAVESTONEDOJI""],",No,0.001966
Hammer,CDLHAMMER,"[""Hammer"" , ""CDLHAMMER""],",No,0.002997398
Hanging Man,CDLHANGINGMAN,"[""Hanging Man"" , ""CDLHANGINGMAN""],",No,0.002998829
Harami Pattern,CDLHARAMI,"[""Harami Pattern"" , ""CDLHARAMI""],",No,0.001998663
Harami Cross Pattern,CDLHARAMICROSS,"[""Harami Cross Pattern"" , ""CDLHARAMICROSS""],",No,0.00199914
High-Wave Candle,CDLHIGHWAVE,"[""High-Wave Candle"" , ""CDLHIGHWAVE""],",Yes,0.002997875
Hikkake Pattern,CDLHIKKAKE,"[""Hikkake Pattern"" , ""CDLHIKKAKE""],",No,0.00199914
Modified Hikkake Pattern,CDLHIKKAKEMOD,"[""Modified Hikkake Pattern"" , ""CDLHIKKAKEMOD""],",No,0.002998352
Homing Pigeon,CDLHOMINGPIGEON,"[""Homing Pigeon"" , ""CDLHOMINGPIGEON""],",No,0.001998663
Identical Three Crows,CDLIDENTICAL3CROWS,"[""Identical Three Crows"" , ""CDLIDENTICAL3CROWS""],",No,0.001998663
In-Neck Pattern,CDLINNECK,"[""In-Neck Pattern"" , ""CDLINNECK""],",No,0.002998829
Inverted Hammer,CDLINVERTEDHAMMER,"[""Inverted Hammer"" , ""CDLINVERTEDHAMMER""],",No,0.001998663
Kicking,CDLKICKING,"[""Kicking"" , ""CDLKICKING""],",No,0.002998114
Kicking - bull/bear determined by the longer marubozu,CDLKICKINGBYLENGTH,"[""Kicking - bull/bear determined by the longer marubozu"" , ""CDLKICKINGBYLENGTH""],",No,0.002998114
Ladder Bottom,CDLLADDERBOTTOM,"[""Ladder Bottom"" , ""CDLLADDERBOTTOM""],",No,0.00199914
Long Legged Doji,CDLLONGLEGGEDDOJI,"[""Long Legged Doji"" , ""CDLLONGLEGGEDDOJI""],",No,0.001998901
Long Line Candle,CDLLONGLINE,"[""Long Line Candle"" , ""CDLLONGLINE""],",No,0.002997637
Marubozu,CDLMARUBOZU,"[""Marubozu"" , ""CDLMARUBOZU""],",No,0.001999617
Matching Low,CDLMATCHINGLOW,"[""Matching Low"" , ""CDLMATCHINGLOW""],",No,0.002998352
Mat Hold,CDLMATHOLD,"[""Mat Hold"" , ""CDLMATHOLD""],",No,0.001998663
