y_true,y_pred
0,-0.12614371
0,0.03170785
0,-0.014233489
0,0.037943184
0,0.04823571
0,0.032135338
0,0.06612674
0,0.06824083
0,0.0814775
0,0.09512425
0,0.053745277
0,0.1302807
0,0.10924668
0,0.069885485
0,0.072005995
0,0.112131484
0,0.076032214
0,0.079669535
0,0.06147655
0,0.0642985
0,0.0417658
0,0.094549894
0,0.0489356
0,-0.0007381803
0,-0.005613696
0,0.041951507
0,0.04886535
0,0.074103184
0,0.0385056
0,0.028203499
0,0.0116176875
0,0.11398626
0,0.15237415
0,0.11017877
0,0.048218407
0,0.22945212
0,0.21397555
0,0.3437061
1,0.8011286
1,0.7989672
0,0.049064662
0,0.2336579
1,0.59111583
0,0.17973591
1,0.6675839
0,0.22291844
0,0.1867192
0,0.179095
0,0.18236044
0,0.094432145
0,0.09789889
0,0.03527954
0,0.08833313
0,0.15248261
0,0.2817705
0,0.28833893
0,0.29061761
1,0.6115096
1,0.6892629
0,0.42508185
1,0.7855042
1,0.7244883
1,0.8094717
1,0.91475403
1,0.8418372
1,0.84948134
1,0.8487787
1,0.88271064
1,0.85725594
1,0.6967931
1,0.657772
0,0.04164109
0,0.18171579
0,0.1216614
0,0.058555413
0,0.1650547
0,0.18216191
0,0.181248
0,0.20908624
0,0.32670453
0,0.36535713
1,0.70285726
1,0.64698267
0,0.19883107
1,0.5857018
1,0.5748975
0,0.07004793
0,0.21938895
0,0.27793217
0,0.19087954
1,0.4740801
1,0.4939376
1,0.48804802
0,-0.030235138
0,0.051131938
0,0.1287348
0,0.11717047
0,0.11965454
0,0.1178169
0,0.12330767
0,0.17633513
0,0.061235715
0,0.16014087
0,0.08684671
0,0.17441216
0,0.19638789
0,0.15153652
0,0.14295341
0,0.13004461
0,0.066243246
0,0.15909477
0,0.11960069
0,0.15783374
0,0.12616052
0,0.11783263
0,0.18481538
0,0.19897166
0,0.14089099
0,0.16672494
0,0.1632841
0,0.18259513
0,0.20582303
1,0.491609
1,0.61436355
1,0.6049859
1,0.5167375
0,0.18756305
0,0.048325866
0,0.18425138
0,0.14124763
0,0.16184233
0,0.14178234
0,0.13883688
0,0.2178708
0,0.15303303
0,0.27684686
0,0.20208408
1,0.6529513
1,0.6897857
1,0.6003868
1,0.6549632
1,0.6740675
1,0.68122476
0,0.3125925
0,0.2822756
0,0.2552575
0,0.3166135
0,0.18873225
0,0.21702427
0,0.12939638
0,0.10280651
0,0.08047373
0,0.05404608
0,0.043126807
0,0.03940585
0,0.0059829894
0,0.037646573
0,0.04308522
0,0.11095239
0,0.04385384
0,-0.058017474
0,0.08226233
0,0.048056714
0,0.046456236
0,0.09037335
0,0.10179026
0,0.12140616
0,0.084467135
0,0.05293449
0,0.11487082
0,0.093289115
0,0.12969935
0,0.08186977
0,0.05140034
0,0.089943126
0,0.1205753
0,0.1189191
0,0.09492977
0,0.13520528
0,-0.005011857
0,0.15242589
0,0.16509251
0,0.22660397
0,0.3684325
1,0.70085424
0,0.27332148
1,0.78831184
1,0.67289555
1,0.6320671
0,0.2013874
0,0.2347168
0,0.1948486
0,0.121433355
0,0.08767105
0,0.15268087
0,0.20114243
1,0.9188547
1,0.8785924
0,0.27515614
0,0.25008252
0,0.3702996
1,0.74123526
1,0.872517
1,0.82110107
1,0.75003874
0,0.23259163
1,0.5743681
0,0.11565466
0,0.1689375
0,0.10795949
0,0.039135486
0,0.035699677
0,0.0030006282
0,0.08668944
