,AUPRC,Precision@0.5%,CM@0.5%,Precision@1%,CM@1%,Precision@3%,CM@3%,Precision@5%,CM@5%,Precision@10%,CM@10%
Train,0.968,1.0,"[[33, 0], [1165, 5360]]",1.0,"[[66, 0], [1132, 5360]]",1.0,"[[197, 0], [1001, 5360]]",1.0,"[[328, 0], [870, 5360]]",0.998,"[[655, 1], [543, 5359]]"
Test,0.272,0.533,"[[8, 7], [571, 2327]]",0.433,"[[13, 17], [566, 2317]]",0.352,"[[31, 57], [548, 2277]]",0.281,"[[41, 105], [538, 2229]]",0.26,"[[76, 216], [503, 2118]]"
