Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,61.840843200683594,62.320228576660156,60.52252960205078,61.30153274536133,27.859851837158203,1168369
2000-01-04,60.822147369384766,61.18168640136719,59.743526458740234,60.76222229003906,27.61475372314453,1340568
2000-01-05,61.00191879272461,61.24161148071289,59.50383377075195,60.462608337402344,27.478591918945312,1753283
2000-01-06,60.462608337402344,61.661075592041016,59.80345153808594,61.36145782470703,27.88709831237793,2070876
2000-01-07,62.320228576660156,63.21908187866211,61.72099685668945,63.159156799316406,28.7041015625,1856749
2000-01-10,63.75838851928711,65.19654846191406,62.85953903198242,64.5973129272461,29.357707977294922,1995468
2000-01-11,65.19654846191406,65.31639862060547,62.320228576660156,63.159156799316406,28.7041015625,1349329
2000-01-12,63.0992317199707,63.27900314331055,62.080535888671875,62.679771423339844,28.48623275756836,1323567
2000-01-13,62.919464111328125,63.75838851928711,61.78091812133789,63.21908187866211,28.73133087158203,1657640
2000-01-14,63.27900314331055,63.27900314331055,62.02061462402344,62.73969268798828,28.51346206665039,1130195
2000-01-18,62.61984634399414,62.61984634399414,61.18168640136719,61.421382904052734,27.914337158203125,1959901
2000-01-19,62.55992126464844,62.679771423339844,60.52252960205078,61.54122543334961,27.968780517578125,1409302
2000-01-20,61.60115051269531,63.27900314331055,61.421382904052734,61.60115051269531,27.996021270751953,1786972
2000-01-21,63.39884948730469,63.39884948730469,61.30153274536133,62.02061462402344,28.186656951904297,2180704
2000-01-24,61.60115051269531,61.72099685668945,58.724830627441406,60.462608337402344,27.478591918945312,1897738
2000-01-25,61.60115051269531,61.60115051269531,58.365291595458984,59.6836051940918,27.124557495117188,1823164
2000-01-26,60.582454681396484,62.85953903198242,60.582454681396484,62.26030731201172,28.29559326171875,2754980
2000-01-27,62.26030731201172,63.338924407958984,61.960689544677734,62.38015365600586,28.350080490112305,2215436
2000-01-28,61.840843200683594,62.26030731201172,59.623680114746094,60.52252960205078,27.50583267211914,1056872
2000-01-31,60.52252960205078,60.52252960205078,58.245445251464844,59.563758850097656,27.070096969604492,1843190
2000-02-01,59.38398742675781,60.04314422607422,57.94582748413086,59.02444839477539,26.824989318847656,1452169
2000-02-02,58.185523986816406,59.14429473876953,57.88590621948242,59.084373474121094,26.85222053527832,1918598
2000-02-03,58.30537033081055,59.86337661743164,58.30537033081055,59.86337661743164,27.206254959106445,1891689
2000-02-04,59.86337661743164,60.40268325805664,58.1255989074707,59.02444839477539,26.824989318847656,1741393
2000-02-07,58.485137939453125,58.96452331542969,57.58628845214844,58.84468078613281,26.743282318115234,1258484
2000-02-08,59.443912506103516,60.3427619934082,59.26414108276367,59.38398742675781,26.98839569091797,1691955
2000-02-09,59.324066162109375,59.324066162109375,57.70613479614258,58.485137939453125,26.579870223999023,1817636
2000-02-10,58.1255989074707,58.1255989074707,54.889739990234375,56.20805358886719,25.545021057128906,1827232
2000-02-11,55.968360900878906,56.028282165527344,52.432884216308594,55.54889678955078,25.245450973510742,2944493
2000-02-14,56.32789993286133,56.56759262084961,54.41035461425781,54.94966506958008,24.973112106323242,1364035
