,feat_importance
Market Cap,0.00723923
Market_Cap_Fixed,0.0001550928
FinTA.OBV_Normalized,0.0031565065
FinTA.14 period MFI,0.00021398676
FinTA.50 period MFI,0.0
FinTA.Normalized_SMA_5,0.0
FinTA.Normalized_SMA_20,0.00016917179
FinTA.Normalized_SMA_50,0.0
FinTA.Normalized_SMA_100,0.0
FinTA.Normalized_SMA_200,0.0
FinTA.RSMA_10_20,0.0003336968
FinTA.RSMA_20_50,0.0
FinTA.RSMA_50_100,0.0
FinTA.RSMA_50_200,0.0023556482
FinTA.Normalized_EMA_5,0.0
FinTA.Normalized_EMA_20,0.00041696077
FinTA.Normalized_EMA_50,0.00048799667
FinTA.Normalized_EMA_100,0.0
FinTA.Normalized_EMA_200,0.0
FinTA.REMA_10_20,0.0
FinTA.REMA_20_50,0.0007793603
FinTA.REMA_50_100,0.00017441335
FinTA.REMA_50_200,0.002101755
FinTA.Pct_change_1,0.0052017993
FinTA.Pct_change_3,0.0
FinTA.Pct_change_5,0.0
FinTA.Pct_change_10,0.00018982323
FinTA.Pct_change_20,0.0
FinTA.Pct_change_50,0.0
FinTA.Pct_change_100,0.0
FinTA.Pct_change_200,0.0011983949
FinTA.Pct_change_400,0.0020391133
FinTA.Max_increase_pct_5,0.00053517695
FinTA.Max_increase_pct_20,0.00067893445
FinTA.Max_increase_pct_50,0.0011401802
FinTA.Max_increase_pct_100,0.00027916243
FinTA.Max_increase_pct_200,0.0025334677
FinTA.Max_increase_pct_300,0.0022975984
FinTA.Max_decrease_pct_5,0.0003509648
FinTA.Max_decrease_pct_20,0.00031396552
FinTA.Max_decrease_pct_50,0.0005694428
FinTA.Max_decrease_pct_100,0.0
FinTA.Max_decrease_pct_200,0.0
FinTA.Max_decrease_pct_300,0.008376262
FinTA.5period DI+,0.00063929224
FinTA.5period DI-,0.0
FinTA.14period DI+,0.0
FinTA.14period DI-,0.0
FinTA.30period DI+,6.847975e-05
FinTA.30period DI-,0.001468766
FinTA.130_3_VFI,7.557478e-05
FinTA.BASP_Buy,0.00821131
FinTA.BASP_Sell,0.0014686697
FinTA.VZO,3.855857e-05
FinTA.FVE_22,0.0
TAlib.NATR_14,0.0044807824
TAlib.NATR_7,0.00277515
TAlib.NATR_20,0.0
TAlib.NATR_40,0.031533543
TAlib.NATR_100,0.008018436
TAlib.NATR_200,0.001547308
TAlib.ADXR_14,0.0024188096
TAlib.BETA_5,0.0
TAlib.BETA_14,0.0
TAlib.BETA_40,0.0015536763
TAlib.HT_DCPERIOD,0.00030534764
TAlib.aroondown,0.0
TAlib.aroonup,0.000766849
TAlib.AROONOSC,0.0
TAlib.BOP,0.0
TAlib.CCI,0.0
TAlib.CMO,5.046824e-05
TAlib.DX,0.0
TAlib.MINUS_DI,0.0
TAlib.PLUS_DI,0.0
TAlib.PPO,0.0
TAlib.ROC,0.0
TAlib.ROCP,0.0
TAlib.ROCR,0.0
TAlib.ROCR100,0.0
TAlib.RSI,0.0
TAlib.slowk,0.0
TAlib.slowd,0.0
"TAlib.fastk_5, 3, 0",0.00089022494
"TAlib.fastd_5, 3, 0",0.0
TAlib.fastk_14,0.00027828655
TAlib.fastd_14,0.0
TAlib.TRIX,0.0
TAlib.ULTOSC,0.0
TAlib.WILLR,0.00051651197
TAlib.HT_DCPHASE,0.00016707902
TAlib.sine,0.0
TAlib.leadsine,8.153841e-05
TAlib.HT_TRENDMODE,0.0
TAlib.CDL2CROWS,0.0
TAlib.CDL3BLACKCROWS,0.0
TAlib.CDL3INSIDE,0.00011767475
TAlib.CDL3LINESTRIKE,0.0
TAlib.CDL3OUTSIDE,0.0
TAlib.CDL3STARSINSOUTH,0.0
TAlib.CDL3WHITESOLDIERS,0.0
TAlib.CDLABANDONEDBABY,0.0
TAlib.CDLADVANCEBLOCK,0.0
TAlib.CDLBELTHOLD,0.0
TAlib.CDLBREAKAWAY,0.0
TAlib.CDLCLOSINGMARUBOZU,0.0
TAlib.CDLCONCEALBABYSWALL,0.0
TAlib.CDLCOUNTERATTACK,0.0
TAlib.CDLDARKCLOUDCOVER,0.0
TAlib.CDLDOJI,0.0
TAlib.CDLDOJISTAR,0.0
TAlib.CDLDRAGONFLYDOJI,0.0
TAlib.CDLENGULFING,0.0
TAlib.CDLEVENINGDOJISTAR,0.0
TAlib.CDLEVENINGSTAR,0.0
TAlib.CDLGAPSIDESIDEWHITE,0.0
TAlib.CDLGRAVESTONEDOJI,0.0
TAlib.CDLHAMMER,0.0
TAlib.CDLHANGINGMAN,0.0
TAlib.CDLHARAMI,0.0
TAlib.CDLHARAMICROSS,0.0
TAlib.CDLHIKKAKE,0.0
TAlib.CDLHIKKAKEMOD,0.0
TAlib.CDLHOMINGPIGEON,0.0
TAlib.CDLIDENTICAL3CROWS,0.0
TAlib.CDLINNECK,0.0
TAlib.CDLINVERTEDHAMMER,0.0
TAlib.CDLKICKING,0.0
TAlib.CDLKICKINGBYLENGTH,0.0
TAlib.CDLLADDERBOTTOM,0.0
TAlib.CDLLONGLEGGEDDOJI,0.0
TAlib.CDLLONGLINE,0.0
TAlib.CDLMARUBOZU,0.0
TAlib.CDLMATCHINGLOW,0.0
TAlib.CDLMATHOLD,0.0
TAlib.CDLMORNINGDOJISTAR,0.0
TAlib.CDLMORNINGSTAR,0.0
TAlib.CDLONNECK,0.0
TAlib.CDLPIERCING,0.0
TAlib.CDLRICKSHAWMAN,0.0
TAlib.CDLRISEFALL3METHODS,0.0
TAlib.CDLSEPARATINGLINES,0.0
TAlib.CDLSHOOTINGSTAR,0.0
TAlib.CDLSHORTLINE,0.0
TAlib.CDLSTALLEDPATTERN,0.0
TAlib.CDLSTICKSANDWICH,0.0
TAlib.CDLTAKURI,0.0
TAlib.CDLTASUKIGAP,0.0
TAlib.CDLTHRUSTING,0.0
TAlib.CDLTRISTAR,0.0
TAlib.CDLUNIQUE3RIVER,0.0
TAlib.CDLUPSIDEGAP2CROWS,0.0
TAlib.CDLXSIDEGAP3METHODS,0.0
