,AUPRC,Precision@0.5%,CM@0.5%,Precision@1%,CM@1%,Precision@3%,CM@3%,Precision@5%,CM@5%,Precision@10%,CM@10%
Train,0.426,0.848,"[[28, 5], [670, 5855]]",0.712,"[[47, 19], [651, 5841]]",0.66,"[[130, 67], [568, 5793]]",0.579,"[[190, 138], [508, 5722]]",0.425,"[[279, 377], [419, 5483]]"
Test,0.298,0.471,"[[8, 9], [399, 2811]]",0.378,"[[14, 23], [393, 2797]]",0.412,"[[40, 57], [367, 2763]]",0.426,"[[69, 93], [338, 2727]]",0.341,"[[110, 213], [297, 2607]]"
