,AUPRC,Precision@0.5%,CM@0.5%,Precision@1%,CM@1%,Precision@3%,CM@3%,Precision@5%,CM@5%,Precision@10%,CM@10%
Train,0.575,0.968,"[[90, 3], [3216, 15099]]",0.946,"[[175, 10], [3131, 15092]]",0.835,"[[462, 91], [2844, 15011]]",0.754,"[[694, 227], [2612, 14875]]",0.655,"[[1205, 636], [2101, 14466]]"
Test,0.251,0.263,"[[10, 28], [1243, 6274]]",0.211,"[[16, 60], [1237, 6242]]",0.229,"[[52, 175], [1201, 6127]]",0.251,"[[95, 283], [1158, 6019]]",0.286,"[[216, 540], [1037, 5762]]"
